granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
14 Her b,77,9.1,1763.3,2.845,K0 V,Radial Velocity,18.1,
14 Her c,309,6.9,52596.0,27.4,K0 V,Radial Velocity,18.1,
1RXS 1609 b,501,14.0,,330.0,K7V,Imaging,145.0,1.7
2M 0103-55 (AB) b,1321,13.0,,84.0,M,Imaging,47.2,
2M 0219-39 b,2400,13.9,,156.0,M6,Imaging,39.4,1.44
2M 0441+23 b,661,7.5,,15.0,M8.5,Imaging,140.0,
2M 2236+4751 b,4065,12.5,,230.0,K7,Imaging,63.0,
2M J2126-81 b,2544,13.3,,6900.0,M2,Imaging,24.75,
2M0437 b,7993,4.0,,118.0,,Imaging,128.1,
2M1207 b,237,5.0,,42.0,,Imaging,,
2MASS J0030-1450,8066,10.0,,,,Imaging,,1.36
2MASS J0249-0557 (AB) c,6790,11.6,,,,Astrometry,,
2MASS J0459-2853,8073,8.0,,,,Imaging,,1.32
2MASS J0642+4101,8075,12.0,,,,Imaging,,1.23
2MASS J0718-6415,8076,3.0,,,,Imaging,,1.29
2MASS J0809+4434,8077,13.0,,,,Imaging,,1.35
2MASS J1119-1137 b,6572,3.7,32850.0,,L7,Imaging,,
2MASS J1155-7919 b,7285,10.0,,582.0,M3,Imaging,101.15,
2MASS J2002-0521,8082,13.0,,,,Imaging,,1.36
2MASS J2117-2940,8083,7.0,,,,Imaging,,1.38
2MASS J2206+3301,8085,8.0,,,,Imaging,,1.3
55 Cnc b,25,0.84,14.65314,0.11339,K0IV-V,Radial Velocity,12.34,
2MASSW J2208136+292121,7936,10.0,,,,Imaging,,
51 Eri b,2428,2.6,10260.0,11.1,F0IV,Imaging,29.4,1.11
51 Peg b,12,0.47,4.2308,0.052,G2 IV,Radial Velocity,14.7,1.9
55 Cnc e,243,0.02703,0.7365478,0.015439,K0IV-V,Primary Transit,12.34,0.1737
AB Aur b,522,9.0,,93.9,A0V,Imaging,144.0,
AB Dor C b,7209,13.0,,0.58,M8,Imaging,15.8,
AB Pic b,280,13.5,,275.0,K2 V,Imaging,47.3,
AU Mic b,7424,0.0368,8.463,0.0645,M1V,Primary Transit,9.79,0.3908
AU Mic c,7546,0.0698,18.859019,0.1101,M1V,Primary Transit,9.79,0.3131
BD+20 594 b,2546,0.07,41.6855,0.241,G,Primary Transit,180.39,0.23
BLG-1691L b,8232,0.046,,2.46,,Microlensing,7290.0,
CD Cet b,7415,0.01244,2.2907,0.0185,M5.0,Radial Velocity,8.609,
CFBD 1458 B,7386,10.5,,2.6,,Imaging,,
CHXR 73 b,833,12.0,,200.0,M3.25,Imaging,,
CI Tau b,3941,11.6,8.9891,,K4IV,Radial Velocity,158.0,
COCONUTS-2 b,7920,6.4,,6471.0,M3,Imaging,10.89,1.12
CWISEP J144606.62-231717.8,7516,11.0,,,,Imaging,,
CWISEP J1935-1546,7146,11.0,,,,Imaging,,
